2021.01.01;72
2021.01.02;151
2021.01.03;115
2021.01.04;77
2021.01.05;93
2021.01.06;67
2021.01.07;186
2021.01.08;113
2021.01.09;138
2021.01.10;189
2021.01.11;63
2021.01.12;117
2021.01.13;164
2021.01.14;54
2021.01.15;185
2021.01.16;47
2021.01.17;62
2021.01.18;59
2021.01.19;174
2021.01.20;84
2021.01.21;174
2021.01.22;127
2021.01.23;117
2021.01.24;192
2021.01.25;82
2021.01.26;35
2021.01.27;100
2021.01.28;103
2021.01.29;20
2021.01.30;104
2021.01.31;102
2021.02.01;104
2021.02.02;87
2021.02.03;178
2021.02.04;24
2021.02.05;39
2021.02.06;172
2021.02.07;77
2021.02.08;128
2021.02.09;163
2021.02.10;22
2021.02.11;25
2021.02.12;188
2021.02.13;179
2021.02.14;77
2021.02.15;170
2021.02.16;78
2021.02.17;174
2021.02.18;91
2021.02.19;57
2021.02.20;106
2021.02.21;155
2021.02.22;135
2021.02.23;179
2021.02.24;195
2021.02.25;193
2021.02.26;125
2021.02.27;57
2021.02.28;37
2021.03.01;67
2021.03.02;135
2021.03.03;122
2021.03.04;170
2021.03.05;139
2021.03.06;132
2021.03.07;155
2021.03.08;185
2021.03.09;17
2021.03.10;77
2021.03.11;34
2021.03.12;47
2021.03.13;185
2021.03.14;47
2021.03.15;50
2021.03.16;45
2021.03.17;149
2021.03.18;90
2021.03.19;148
2021.03.20;73
2021.03.21;186
2021.03.22;11
2021.03.23;94
2021.03.24;132
2021.03.25;184
2021.03.26;133
2021.03.27;48
2021.03.28;16
2021.03.29;157
2021.03.30;191
2021.03.31;154
2021.04.01;103
2021.04.02;38
2021.04.03;24
2021.04.04;176
2021.04.05;158
2021.04.06;20
2021.04.07;26
2021.04.08;133
2021.04.09;32
2021.04.10;197
