2021.01.01;112
2021.01.02
2021.01.03;12
2021.01.04;117
2021.01.05;48
2021.01.06;174
2021.01.07;138
2021.01.08;117
2021.01.09;145
2021.01.10;47
2021.01.11;156
2021.01.12;133
2021.01.13;54
2021.01.14;150
2021.01.15;35
2021.01.16;82
2021.01.17;161
2021.01.18;25
2021.01.19;150
2021.01.20;112
2021.01.21;175
2021.01.22;26
2021.01.23;197
2021.01.24;128
2021.01.25;116
2021.01.26;41
2021.01.27;198
2021.01.28;79
2021.01.29;101
2021.01.30;179
2021.01.31;68
2021.02.01;40
2021.02.02;162
2021.02.03;121
2021.02.04;38
2021.02.05;85
2021.02.06;140
2021.02.07;101
2021.02.08;24
2021.02.09;18
2021.02.10;23
2021.02.11;148
2021.02.12;40
2021.02.13;59
2021.02.14;12
2021.02.15;24
2021.02.16;60
2021.02.17;16
2021.02.18;16
2021.02.19;107
